case,scenario,ai_load_bus,ai_load_mw,bess_bus,bess_power_mw,bess_energy_mwh,baseline_success,bess_success,baseline_max_loading,bess_max_loading,congestion_reduction,baseline_min_voltage,bess_min_voltage
ieee30,ai_data_center_50mw_bus_19,19,50.0,1,50,100,True,True,176.44161101331775,176.10469283420312,0.3369181791146332,0.899502555453738,0.8994749282830792
ieee30,ai_data_center_50mw_bus_19,19,50.0,2,50,100,True,True,176.44161101331775,177.28207177309238,-0.8404607597746292,0.899502555453738,0.9006219600824902
ieee30,ai_data_center_50mw_bus_19,19,50.0,3,50,100,True,True,176.44161101331775,177.45005741944098,-1.0084464061232268,0.899502555453738,0.9009348405319257
ieee30,ai_data_center_50mw_bus_19,19,50.0,6,50,100,True,True,176.44161101331775,174.1736380700341,2.2679729432836666,0.899502555453738,0.9009212528933541
ieee30,ai_data_center_50mw_bus_19,19,50.0,7,50,100,True,True,176.44161101331775,173.69082738574303,2.7507836275747195,0.899502555453738,0.9013508558489965
ieee30,ai_data_center_50mw_bus_19,19,50.0,9,50,100,True,True,176.44161101331775,156.04600448349814,20.395606529819617,0.899502555453738,0.9040512819021024
ieee30,ai_data_center_50mw_bus_19,19,50.0,11,50,100,True,True,176.44161101331775,204.1063272364735,-27.66471622315575,0.899502555453738,0.8995419119266927
ieee30,ai_data_center_50mw_bus_19,19,50.0,13,50,100,True,True,176.44161101331775,215.92174268815322,-39.48013167483546,0.899502555453738,0.9004505526720209
ieee30,ai_data_center_50mw_bus_19,19,50.0,14,50,100,True,True,176.44161101331775,230.91779193312726,-54.47618091980951,0.899502555453738,0.9044105032662683
ieee30,ai_data_center_50mw_bus_19,19,50.0,15,50,100,True,True,176.44161101331775,207.00662826374807,-30.565017250430316,0.899502555453738,0.9012073829878505
ieee30,ai_data_center_50mw_bus_19,19,50.0,16,50,100,True,True,176.44161101331775,160.4487130864862,15.992897926831546,0.899502555453738,0.9032060174780675
ieee30,ai_data_center_50mw_bus_19,19,50.0,17,50,100,True,True,176.44161101331775,292.4016235865966,-115.96001257327885,0.899502555453738,0.924302066204691
ieee30,ai_data_center_50mw_bus_19,19,50.0,18,50,100,True,True,176.44161101331775,139.85605624366582,36.585554769651935,0.899502555453738,0.9385275327703988
ieee30,ai_data_center_50mw_bus_19,19,50.0,19,50,100,True,True,176.44161101331775,111.92764082754165,64.5139701857761,0.899502555453738,0.9452718430528727
ieee30,ai_data_center_50mw_bus_19,19,50.0,20,50,100,True,True,176.44161101331775,159.02198945353337,17.41962155978439,0.899502555453738,0.8980966993886557
ieee30,ai_data_center_50mw_bus_19,19,50.0,22,50,100,True,True,176.44161101331775,245.9921724851013,-69.55056147178354,0.899502555453738,0.8951650076349736
ieee30,ai_data_center_50mw_bus_19,19,50.0,23,50,100,True,True,176.44161101331775,206.96641941525021,-30.52480840193246,0.899502555453738,0.896771896681462
ieee30,ai_data_center_50mw_bus_19,19,50.0,25,50,100,True,True,176.44161101331775,265.3705970061391,-88.92898599282137,0.899502555453738,0.898653929118998
